source_kind,source_file,source_sheet,source_row,wallet_address,date_displayed,date_serial_raw,date_serial_as_wall_clock,transaction_url,chain,tx_hash,sent_to,value_displayed,value_raw,amount_displayed,amount_raw,token,unit_price_displayed,unit_price_raw,note
summary_upper,/Users/alphab/.mdx/research/data/william-google-sheet-2026-05-25/gid-1211660592.csv,Summary,5,0xaadd5f9d0fa1411f612d75336eee5eb87092f1f0,2023/07/21 10:00:59,45128.41735,2023-07-21 10:00:59,https://etherscan.io/tx/0x655a2a55bc724718bca78b7645347f448d1ca52b9f051ac3b6b8f2e36651d204,ethereum,0x655a2a55bc724718bca78b7645347f448d1ca52b9f051ac3b6b8f2e36651d204,"depositWithExpiry
THORChain 0xD37BbE5744D730a1d98d8DC97c42F0Ca46aD7146","$237,313.39",237313.39,-125.4472,-125.4472,ETH,"$1,891.74",1891.74,upper summary transaction row
summary_upper,/Users/alphab/.mdx/research/data/william-google-sheet-2026-05-25/gid-1211660592.csv,Summary,6,0x1c0b5b8d36587d0516839df7ebfb49ad8f3c543c,2023/07/22 5:52:11,45129.24457,2023-07-22 05:52:10,https://etherscan.io/tx/0xb5e309a09f479a87f71b1258380d8b8e62c84163364b3b06762927c476c4d655,ethereum,0xb5e309a09f479a87f71b1258380d8b8e62c84163364b3b06762927c476c4d655,0x6a7E9ed15eA2C1C7787E68F2CA2dF68379ed437e,"$1,530.30",1530.3,-0.82,-0.82,ETH,"$1,866.22",1866.22,upper summary transaction row
summary_upper,/Users/alphab/.mdx/research/data/william-google-sheet-2026-05-25/gid-1211660592.csv,Summary,7,0x1c0b5b8d36587d0516839df7ebfb49ad8f3c543c,2023/07/21 9:56:11,45128.41402,2023-07-21 09:56:11,https://etherscan.io/tx/0x662e469715056d9501da5184ec4a2a466b05b3fa656c73d0fb067598b88013c2,ethereum,0x662e469715056d9501da5184ec4a2a466b05b3fa656c73d0fb067598b88013c2,0xeEC35fd50B5E7344b3E1A7F4384b3Cb9365e204A,"$1,178,554.02",1178554.02,-623,-623,ETH,"$1,891.74",1891.74,upper summary transaction row
summary_upper,/Users/alphab/.mdx/research/data/william-google-sheet-2026-05-25/gid-1211660592.csv,Summary,8,0x1c0b5b8d36587d0516839df7ebfb49ad8f3c543c,2023/07/21 9:47:23,45128.40791,2023-07-21 09:47:23,https://etherscan.io/tx/0x2ed79b067f3afa2e636ae82f8c0c6cbd59d504aa7f25f146a4d22ef2186fc157,ethereum,0x2ed79b067f3afa2e636ae82f8c0c6cbd59d504aa7f25f146a4d22ef2186fc157,0xeEC35fd50B5E7344b3E1A7F4384b3Cb9365e204A,"$197,308.48",197308.48,-104.3,-104.3,ETH,"$1,891.74",1891.74,upper summary transaction row
summary_upper,/Users/alphab/.mdx/research/data/william-google-sheet-2026-05-25/gid-1211660592.csv,Summary,9,0x055e6b081f175db1170350ba4f23e3a8e0895492,2023/07/21 10:06:23,45128.4211,2023-07-21 10:06:23,https://etherscan.io/tx/0x91a3d5976df4c7fb6d000a081855b4fc217d61d6e1b71f5c99205e7dc7c2f63f,ethereum,0x91a3d5976df4c7fb6d000a081855b4fc217d61d6e1b71f5c99205e7dc7c2f63f,0x4ec986035b635d09474fc390acdf5c107dda4c70,"$5,372.54",5372.54,-2.84,-2.84,ETH,"$1,891.74",1891.74,upper summary transaction row
summary_upper,/Users/alphab/.mdx/research/data/william-google-sheet-2026-05-25/gid-1211660592.csv,Summary,10,0xd20a9ed00e37fdaef0a064bc32feb10845053f09,2023/07/21 10:12:35,45128.42541,2023-07-21 10:12:35,https://etherscan.io/tx/0xc2235fdf93d6ed97f17ea248d40fbc6c910cb502a63c75f0bb131bbb0fb465a8,ethereum,0xc2235fdf93d6ed97f17ea248d40fbc6c910cb502a63c75f0bb131bbb0fb465a8,0xb7917ee3520c4aa56add5d55f6026edeebe99d02,"$12,203.61",12203.61,-6.451,-6.451,ETH,"$1,891.74",1891.74,upper summary transaction row
summary_upper,/Users/alphab/.mdx/research/data/william-google-sheet-2026-05-25/gid-1211660592.csv,Summary,11,0xa30e54cb3593c6afca653621c4d3ee2105f015aa,2023/07/21 10:09:11,45128.42304,2023-07-21 10:09:10,https://etherscan.io/tx/0x931ebd9671d532e81ef15211ce16e193615765747e4a906d9dabb278f792f2f3,ethereum,0x931ebd9671d532e81ef15211ce16e193615765747e4a906d9dabb278f792f2f3,0xbdC4b2D85d9DCC42C3799b4569bd1D7D25D29C03,"$11,445.03",11445.03,-6.05,-6.05,ETH,"1,891.74",1891.74,upper summary transaction row
summary_upper,/Users/alphab/.mdx/research/data/william-google-sheet-2026-05-25/gid-1211660592.csv,Summary,12,0xdFb05c98320D126Bcc74F6EB7960E99669dcd49a,2023/07/21 10:12:47,45128.42554,2023-07-21 10:12:46,https://etherscan.io/tx/0x0fa037ee4e0a99004dd98ca4827a9aaa9e45e56acd2b74334f09b16ad57050c3,ethereum,0x0fa037ee4e0a99004dd98ca4827a9aaa9e45e56acd2b74334f09b16ad57050c3,0xB7917eE3520C4AA56ADd5d55f6026EdeEBE99d02,"$3,541.34",3541.34,-1.872,-1.872,ETH,"1,891.74",1891.74,upper summary transaction row
summary_upper,/Users/alphab/.mdx/research/data/william-google-sheet-2026-05-25/gid-1211660592.csv,Summary,13,0x9Dc08Da4cBF74F81CFfb54CECbD8fDf6554E1D34,2023/07/21 14:36:20,45128.60856,2023-07-21 14:36:19,https://bscscan.com/tx/0x266ef6a62efc7fc3e6e8c9e4c0d31f844208429d9e3b58f5d998f8da58c230d1,bsc,0x266ef6a62efc7fc3e6e8c9e4c0d31f844208429d9e3b58f5d998f8da58c230d1,0x08178b429CA29853fa33014F635D12bD7f706297,"$2,096.68",2096.68,-8.6,-8.6,BNB,$243.80,243.8,upper summary transaction row
summary_upper,/Users/alphab/.mdx/research/data/william-google-sheet-2026-05-25/gid-1211660592.csv,Summary,14,0x9Dc08Da4cBF74F81CFfb54CECbD8fDf6554E1D34,2023/07/21 10:13:35,45128.4261,2023-07-21 10:13:35,https://etherscan.io/tx/0xa2dc0cff0e555bf26d8044e39e92071e69587e62bfe4128f827b0eb9bdfc8681,ethereum,0xa2dc0cff0e555bf26d8044e39e92071e69587e62bfe4128f827b0eb9bdfc8681,0xB7917eE3520C4AA56ADd5d55f6026EdeEBE99d02,"$2,971.92",2971.92,-1.571,-1.571,ETH,"1,891.74",1891.74,upper summary transaction row
